cod_local,periodo,codigo_ine,pct_area_viaria,pnc_jubilacion_per_1000,pnc_invalidez_per_1000,pnc_total_per_1000,densidad_poblacion_hab_km2,tasa_crecimiento_pct,clasificacion,ratio_poblacion_area,autonomia_financiera_pct,residuos_kg_habitante,agua_suministrada_per_1000hab,agua_residual_per_1000hab,carga_dbo5_t_anio,pct_verde_urbano,pct_forestal_osm,pct_parque,area_parque_m2_per_hab,area_verde_m2_per_hab,area_forestal_m2_per_hab,parques_per_1000hab,area_parque_m2_per_1000hab,pct_agua,pct_humedal,pct_ribera
28009001,2021,28009,,0.4094056049760259,2.170856927108768,6.265061097565473,547.14,-0.5512,Urbano,547.14,48.66,391.6,24225.215673044484,73161.5258566678,454.403,,,,7.663019904573714,8.352209745047954,39.42358667887609,2.0723890307966646,7663.019904573714,,,
28009001,2022,28009,,3.983801695204505,2.028787900335628,6.012589595540133,547.61,0.0868,Urbano,547.61,59.84,406.5,24287.66793470409,78719.36245004094,454.797,,,,7.656377907256705,8.344970385708095,39.38941590022632,2.07059276737131,7656.377907256705,,,
28009001,2023,28009,2.496,4.050925419764737,1.9443392439030576,5.995264663667795,553.52,1.0786,Urbano,553.52,,378.6,24028.488399790385,77879.32923633938,459.703,0.457,2.155,0.419,7.574674860654566,8.255919203468153,38.96908198751846,2.048496974894002,7574.674860654566,0.572,0.0,0.572
28013002,2016,28013,,3.672338748933817,2.3854970684998102,6.057835817433628,306.59,,Urbano,306.59,62.81,380.5,8474.608161292548,25898.0528895947,1268.711,,,,17.120071808327005,18.80653179589864,376.5880687702824,1.208313194780087,17120.071808327004,,,
28013002,2017,28013,,0.3818856205695121,2.422553288795891,6.241563170797075,308.07,0.4851,Urbano,308.07,62.14,402.0,8441.129988146979,25659.543400958548,1274.865,,,,17.037431501554636,18.71575077731778,374.7702403243262,1.2024805455826018,17037.431501554634,,,
28013002,2018,28013,,3.929414651298654,2.413166518675133,6.342581169973788,312.43,1.4155,Urbano,312.43,34.28,384.6,8330.64010705151,25189.491335941868,1292.91,,,,16.799634127750394,18.45452851601538,369.5394413672781,1.1856971052052103,16799.634127750396,,,
28013002,2019,28013,,4.057691920964001,2.344450890942364,6.402142811906365,315.45,0.9655,Urbano,315.45,65.2,395.0,8327.310550774238,24228.731524820912,1305.393,,,,16.638985354069153,18.278054590903757,366.0056704749442,1.1743587162581577,16638.98535406915,,,
28013002,2020,28013,,3.989446433333412,2.239565019363152,6.229011452696564,319.29,1.2163,Urbano,319.29,49.92,376.4,8302.658622289995,23226.347543592125,1321.271,,,,16.439037326791752,18.05841013061062,361.60743883842736,1.1602466352847578,16439.037326791753,,,
28013002,2021,28013,,0.4094056049760259,2.170856927108768,6.265061097565473,316.65,-0.8271,Urbano,316.65,52.56,391.6,8400.86574298464,25371.09120385072,1310.343,,,,16.57613691441178,18.209015092006084,364.623201243461,1.1699229522170038,16576.13691441178,,,
28013002,2022,28013,,3.983801695204505,2.028787900335628,6.012589595540133,316.27,-0.1187,Urbano,316.27,48.59,406.5,8439.844717378935,27354.589873163543,1308.788,,,,16.59583012616713,18.230648238010776,365.0563903483819,1.1713128744017938,16595.83012616713,,,
28013002,2023,28013,2.953,4.050925419764737,1.9443392439030576,5.995264663667795,321.06,1.516,Urbano,321.06,39.85,378.6,8313.80628997165,26946.083602558185,1328.629,0.576,11.537,0.525,16.347992351816444,17.95839651875783,359.60473396189093,1.1538207951473596,16347.992351816443,1.379,0.176,1.555
28014002,2016,28014,,3.672338748933817,2.3854970684998102,6.057835817433628,675.99,,Urbano,675.99,56.52,380.5,9048.787230905338,27652.720436449425,1188.206,,,,6.229725744618107,6.965128280743143,131.2076083751106,0.9952816278383958,6229.725744618107,,,
28014002,2017,28014,,0.3818856205695121,2.422553288795891,6.241563170797075,670.57,-0.8018,Urbano,670.57,56.98,402.0,9129.958566358857,27753.460545140373,1178.68,,,,6.280076550045521,7.021422864681073,132.2680738001895,1.0033258393563849,6280.076550045522,,,
28014002,2018,28014,,3.929414651298654,2.413166518675133,6.342581169973788,679.7,1.3619,Urbano,679.7,70.34,384.6,9015.214283095647,27259.449352934706,1194.733,,,,6.195696007625472,6.927081423910254,130.49088976060418,0.9898449242951936,6195.696007625472,,,
28014002,2019,28014,,4.057691920964001,2.344450890942364,6.402142811906365,690.1,1.5306,Urbano,690.1,71.43,395.0,8961.454440412357,26073.805268194046,1213.019,,,,6.102294679448988,6.8226543176442975,128.5237140948564,0.9749228186101934,6102.294679448988,,,
